# Publisher logins (cryptocurrency names)
Publisher:bitcoin,btc@2024
Publisher:ethereum,eth@2024
Publisher:ripple,xrp@2024
Publisher:cardano,ada@2024
Publisher:polkadot,dot@2024

# Subscriber logins
Subscriber:alice,alicepass123
Subscriber:bob,bobsecure456
Subscriber:charlie,charliepass789
Subscriber:david,davidpass123
Subscriber:emily,emilypass456
Subscriber:frank,franksecure789
Subscriber:grace,gracepass101
Subscriber:henry,henrypass202
Subscriber:isabel,isabelpass303
Subscriber:jack,jackpass404
